Source,Target,Type
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,EndianScalar,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,EndianScalar,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,defined,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,IsFloatTheSameAs,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,IsFloatTheSameAs,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/base.h,IsOutRange,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,algorithm,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,flatbuffers/base.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,o,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,o,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,o,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,o,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,FLATBUFFERS_ASSERT,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,__alignof,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,__alignof__,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,memcmp,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,EndianScalar,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,Read,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,GetBufferIdentifier,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,strncmp,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,EndianCheck,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer.h,EndianScalar,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer_ref.h,flatbuffers/base.h,include
